"","name","fcs.well","FSC-A","FSC-W","FSC-H","SSC-A","SSC-W","SSC-H","hA PE 582/15 561nm-A","CD21 PE-cy7 780/60 561nm-A","CD38 BV421 450/50 405nm-A","CD20 BV605 610/20 405nm-A","CD27 BV711 710/50 405nm-A","hA APC 670/30 640nm-A","DUMP APC-ef780 780/60 640nm-A","SA BUV395 379/28 355nm-A","CD19 BUV496_515-30 450/50 355nm-A","IgD BUV737 740/35 355nm-A","CD71 FITC 530/30 488nm-A","Time","XLoc","YLoc","day","sampleID","age.group","fcs.XLoc","fcs.YLoc","lib.name","lib.well"
"991","665X_d42_INX_665X_d42_001_020.fcs","G2",90422.3984375,78642.1484375,75353,33794.640625,75191.5,29455,3.27220081402626,1.09536125206994,1.33677963111091,2.86720487783159,2.15892748527691,2.57446189160638,1.45708989898301,1.51864140937062,2.62544854406762,0.72988713474925,1.73014520075442,7959.60009765625,6,1,"42","665X","young",6,1,"lib190916","G10"
"992","665X_d42_INX_665X_d42_001_020.fcs","G3",68865.28125,74632.1484375,60472,18865.240234375,74889.6015625,16509,3.94588820322211,2.48670324976909,1.15281350093466,2.81961035574592,2.12729957134865,3.29513716987007,1.1084933198959,1.200555594536,2.33238697923818,0.597084676141161,1.28152170389072,8180.5,6,2,"42","665X","young",6,2,"lib190916","G11"
"993","665X_d42_INX_665X_d42_001_020.fcs","G4",76556.15625,78406.984375,63989,26929.359375,76959.8203125,22932,3.43167458427843,0.894168685114803,0.936558586848802,2.83800624776427,0.980917187893468,2.69298692571683,1.19300976123258,0.52668969372143,2.58734507743389,0.699935280029116,1.46521760058233,8416.900390625,6,3,"42","665X","young",6,3,"lib190916","G12"
"994","665X_d42_INX_665X_d42_001_020.fcs","H1",77976.3203125,79075.53125,64625,29656.16015625,74754.6484375,25999,3.30784549668335,1.39638560958999,1.07006879142372,2.94855938938674,1.61627953690123,2.60556375882023,1.29227054442442,1.33558052589123,2.95830584881253,0.474452226886466,1.51174075991764,9529.2001953125,7,0,"42","665X","young",7,0,"lib190916","H9"
"995","665X_d42_INX_665X_d42_001_020.fcs","H2",80366.71875,77036.5703125,68369,25289.880859375,80695.140625,20539,3.14589768490313,1.14532756670131,0.691563716899947,2.920215757351,0.464045623124895,2.46391065681403,1.10692327417974,1.38716505511635,2.73993450063853,0.558394526130899,1.67635484742268,9307.7998046875,7,1,"42","665X","young",7,1,"lib190916","H10"
"996","665X_d42_INX_665X_d42_001_020.fcs","H3",67963.515625,75385.15625,59084,20691.720703125,72691.1015625,18655,3.82931247606859,1.85699094139278,1.05953233760845,2.76253024071853,2.13853722451435,3.09804991642406,0.92198542808025,1.20043834173996,2.21632729976685,0.622747198720279,0.872865998756127,9038.2998046875,7,2,"42","665X","young",7,2,"lib190916","H11"
"997","665X_d42_INX_665X_d42_001_020.fcs","H4",85049.6015625,78320.1484375,71167,26272.48046875,78438.0390625,21951,3.31575690022468,1.53657257482559,1.04671426847604,3.03168391726073,-0.0398281417466865,2.62503480241783,1.11845044659427,1.36518220533913,2.79643386276424,0.757354118634974,1.31378833243631,8643.900390625,7,3,"42","665X","young",7,3,"lib190916","H12"
"998","665X_d42_INX_665X_d42_002_021.fcs","A3",75707.515625,76783.0625,64618,23720.439453125,74511.9453125,20863,4.05867031341498,2.11174573263905,1.65768575196636,2.96284574711315,2.51418935702612,3.27674206050816,1.45982121630814,1.25295780477302,2.49313209799438,-0.0746830342129653,1.58720490828843,11027.599609375,0,2,"42","665X","young",0,2,"lib190916","A5"
"999","665X_d42_INX_665X_d42_002_021.fcs","A4",81809.28125,78414.7734375,68373,27744.6796875,78658.734375,23116,3.70988861592065,1.40834826715377,1.01470968228178,2.99131943554321,1.76928877200593,3.0049241977119,1.19793798559449,0.847237628972165,2.81373455251397,0.469522430602172,1.70819072127383,11556.5,0,3,"42","665X","young",0,3,"lib190916","A6"
"1000","665X_d42_INX_665X_d42_002_021.fcs","B1",73549.4375,79890.875,60334,31333.720703125,76714.2421875,26768,4.04490572969071,1.35328902782484,1.25300486604807,3.00802610794416,2.17183119639886,3.28273331809888,1.22195677362209,1.27487335245138,2.90814080871213,0.90127929433692,2.06381152296017,13555.900390625,1,0,"42","665X","young",1,0,"lib190916","B3"
"1001","665X_d42_INX_665X_d42_002_021.fcs","B2",71491.8359375,79877.40625,58656,33288.71875,74920.484375,29119,3.31008794988636,1.33735451502217,1.35268911941266,3.04978143140067,1.18653075422357,2.64586294298815,1.42467612977286,1.25372879908608,2.77223992151219,0.75177464466063,1.84425466645629,13316.400390625,1,1,"42","665X","young",1,1,"lib190916","B4"
